,ADDRESS,CITY,URL,LATITUDE,LONGITUDE,LOCATION,travel_time,travel_cost
100,2875 Ford St,Oakland,http://www.redfin.com/CA/Oakland/2875-Ford-St-94601/home/40628541,37.7727862,-122.2342459,"37.7727862,-122.2342459",41 mins,$4.70
101,2002 96Th Ave,Oakland,http://www.redfin.com/CA/Oakland/2002-96th-Ave-94603/home/594307,37.7487097,-122.1647928,"37.7487097,-122.1647928",,
102,16139 Via Sonora,San Lorenzo,http://www.redfin.com/CA/San-Lorenzo/16139-Via-Sonora-94580/home/700236,37.6722321,-122.1411845,"37.6722321,-122.1411845",,
103,4576 Laura Way,Union City,http://www.redfin.com/CA/Union-City/4576-Laura-Way-94587/home/1038322,37.5787925,-122.07089450000001,"37.5787925,-122.07089450000001",1 hour 37 mins,$8.75
104,65 Sandpoint Dr,Richmond,http://www.redfin.com/CA/Richmond/65-Sandpoint-Dr-94804/home/1187452,37.9087019,-122.3459787,"37.9087019,-122.3459787",,
105,4009 Market St,Oakland,http://www.redfin.com/CA/Oakland/4009-Market-St-94608/home/528013,37.8310122,-122.27413940000001,"37.8310122,-122.27413940000001",37 mins,$4.45
106,3750 Mcclelland St,Oakland,http://www.redfin.com/CA/Oakland/3750-McClelland-St-94619/home/1716480,37.7851394,-122.18571329999999,"37.7851394,-122.18571329999999",,
107,142 Edinburgh St,SAN FRANCISCO,http://www.redfin.com/CA/San-Francisco/142-Edinburgh-St-94112/home/1543895,37.7268617,-122.4279784,"37.7268617,-122.4279784",31 mins,$3.00
108,3110 Adeline St #115,Oakland,http://www.redfin.com/CA/Oakland/3110-Adeline-St-94608/unit-115/home/2114770,37.8227361,-122.28082409999999,"37.8227361,-122.28082409999999",,
109,14950 Lark St,San Leandro,http://www.redfin.com/CA/San-Leandro/14950-Lark-St-94578/home/1592109,37.708813899999996,-122.12734309999999,"37.708813899999996,-122.12734309999999",,
