SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,19212 Center St,Castro Valley,CA,94546,813777,4,2.0,Castro Valley,1400,6032,1941,10,581,,Active,,,http://www.redfin.com/CA/Castro-Valley/19212-Center-St-94546/home/2027911,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905555,N,Y,37.703281,-122.0604181
MLS Listing,,Single Family Residential,25849 Calaroga Ave,Hayward,CA,94545,749888,3,2.0,Southgate,1575,5916,1959,10,476,,Active,,,http://www.redfin.com/CA/Hayward/25849-Calaroga-Ave-94545/home/1391629,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40904632,N,Y,37.6411096,-122.0993444
MLS Listing,,Single Family Residential,3254 Arkansas St,Oakland,CA,94602,699000,4,2.0,Lower Laurel,1737,2880,1938,10,402,,Active,,,http://www.redfin.com/CA/Oakland/3254-Arkansas-St-94602/home/1040866,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905516,N,Y,37.7941293,-122.2065964
MLS Listing,,Single Family Residential,1421 Richmond St,El Cerrito,CA,94530,840000,3,2.0,Contra Costa,1025,6199,1926,10,820,,Active,,,http://www.redfin.com/CA/El-Cerrito/1421-Richmond-St-94530/home/1138372,BAREIS,22009736,N,Y,37.9197244,-122.3094451
MLS Listing,,Single Family Residential,5968 Marshall St,Oakland,CA,94608,830000,3,2.0,Golden Gate,1261,3782,1932,10,658,,Active,,,http://www.redfin.com/CA/Oakland/5968-Marshall-St-94608/home/570510,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905487,N,Y,37.8436449,-122.2846836
MLS Listing,,Single Family Residential,8715 Thermal St,Oakland,CA,94605,695000,3,4.0,Toler Heights,1724,5000,1963,11,403,,Active,,,http://www.redfin.com/CA/Oakland/8715-Thermal-St-94605/home/584608,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905483,N,Y,37.7579633,-122.1613223
MLS Listing,,Single Family Residential,1628 Acton St,Berkeley,CA,94702,898000,3,2.0,N. Berkeley,1251,2450,1915,11,718,,Active,,,http://www.redfin.com/CA/Berkeley/1628-Acton-St-94702/home/869401,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905467,N,Y,37.874966,-122.2850048
MLS Listing,,Single Family Residential,1740 Cottage Grove Ave,San Mateo,CA,94401,4500,3,2.0,San Mateo,1450,5000,1951,11,3,,Active,,,http://www.redfin.com/CA/San-Mateo/1740-Cottage-Grove-Ave-94401/home/2044164,San Francisco MLS,498477,N,Y,37.5701096,-122.3018711
MLS Listing,,Single Family Residential,2488 Savannah Ct,Oakland,CA,94605,529900,3,2.0,Alameda,1177,2060,2002,11,450,90,Active,,,http://www.redfin.com/CA/Oakland/2488-Savannah-Ct-94605/home/1968733,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905418,N,Y,37.7543959,-122.161278
MLS Listing,,Single Family Residential,1475 Vía La Paloma,SAN LORENZO,CA,94580,798000,3,2.0,SAN LORENZO,1570,6351,1955,11,508,10,Active,,,http://www.redfin.com/CA/San-Lorenzo/1475-Via-La-Paloma-94580/home/1876510,MLSListings,ML81793163,N,Y,37.6746005,-122.1405191
MLS Listing,,Single Family Residential,9323 Burr St,Oakland,CA,94605,650000,3,2.0,Toler Heights,1800,6250,1957,11,361,,Active,,,http://www.redfin.com/CA/Oakland/9323-Burr-St-94605/home/1881290,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905347,N,Y,37.7544283,-122.1578628
MLS Listing,,Single Family Residential,6167 Overdale Ave,Oakland,CA,94605,729000,3,2.0,Millmont,1420,5000,1948,12,513,,Active,,,http://www.redfin.com/CA/Oakland/6167-Overdale-Ave-94605/home/1363156,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905320,N,Y,37.7797547,-122.1751815
MLS Listing,,Single Family Residential,3631 Hageman Ave,Oakland,CA,94619,669000,4,2.0,Allendale,1452,4026,1944,13,461,,Active,,,http://www.redfin.com/CA/Oakland/3631-Hageman-Ave-94619/home/1881720,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40903272,N,Y,37.7893269,-122.2048674
MLS Listing,,Single Family Residential,25531 Franklin Ave,Hayward,CA,94544,569000,4,2.0,Jackson Triangle,1246,13500,1936,13,457,,Active,,,http://www.redfin.com/CA/Hayward/25531-Franklin-Ave-94544/home/1947905,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905194,N,Y,37.6514359,-122.0773086
MLS Listing,,Single Family Residential,1330 148Th Ave,San Leandro,CA,94578,699975,2,2.5,San Leandro,1592,5974,1939,14,440,,Active,,,http://www.redfin.com/CA/San-Leandro/1330-148th-Ave-94578/home/1370126,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905103,N,Y,37.707702,-122.1344415
MLS Listing,,Single Family Residential,21143 Ashfield Ave,Castro Valley,CA,94546,865000,3,2.0,Castro Valley,1314,5400,1955,14,658,,Active,,,http://www.redfin.com/CA/Castro-Valley/21143-Ashfield-Ave-94546/home/1568840,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40902659,N,Y,37.6918824,-122.0787956
MLS Listing,,Single Family Residential,2240 64Th Ave,Oakland,CA,94605,560500,5,3.0,Oakland,1523,3800,1920,14,368,,Active,,,http://www.redfin.com/CA/Oakland/2240-64th-Ave-94605/home/570857,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40903376,N,Y,37.7665854,-122.190014
MLS Listing,,Single Family Residential,2328 14Th Ave,Oakland,CA,94606,710000,4,2.0,Highland,1442,4410,1913,15,492,,Active,,,http://www.redfin.com/CA/Oakland/2328-14th-Ave-94606/home/534539,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905075,N,Y,37.7949404,-122.2372709
MLS Listing,,Single Family Residential,15699 Liberty St,SAN LEANDRO,CA,94578,875000,4,3.0,SAN LEANDRO,2044,2793,2014,15,428,,Active,,,http://www.redfin.com/CA/San-Leandro/15699-Liberty-St-94578/home/57179978,MLSListings,ML81792860,N,Y,37.7053597,-122.1185582
MLS Listing,,Single Family Residential,5423 Highland Ave,Richmond,CA,94804,699000,3,2.0,Richmond,1518,5060,1912,15,460,,Active,,,http://www.redfin.com/CA/Richmond/5423-Highland-Ave-94804/home/1239245,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905047,N,Y,37.9150314,-122.3180814
